date,season,ranking,acousticness,danceability,duration,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3/8/2014,0,8,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/8/2014,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
3/8/2014,0,10,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
3/1/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
3/1/2014,0,2,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
3/1/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
3/1/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
3/1/2014,0,5,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
3/1/2014,0,6,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
3/1/2014,0,7,0.254549,0.66758,231.96689,0.691883,5,0.184999,-7.381,0,0.117125,159.886,4,0.883516
3/1/2014,0,8,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
3/1/2014,0,9,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
3/1/2014,0,10,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/22/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/22/2014,0,2,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/22/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/22/2014,0,4,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
2/22/2014,0,5,0.090708,0.697646,206.47955,0.755507,11,0.141892,-5.326,0,0.063686,137.932,4,0.818263
2/22/2014,0,6,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/22/2014,0,7,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/22/2014,0,8,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/22/2014,0,9,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/22/2014,0,10,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/15/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/15/2014,0,2,0.090708,0.697646,206.47955,0.755507,11,0.141892,-5.326,0,0.063686,137.932,4,0.818263
2/15/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/15/2014,0,4,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/15/2014,0,5,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
2/15/2014,0,6,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/15/2014,0,7,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/15/2014,0,8,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/15/2014,0,9,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/15/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/8/2014,0,1,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/8/2014,0,2,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/8/2014,0,3,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/8/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/8/2014,0,5,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/8/2014,0,6,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/8/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/8/2014,0,8,0.038124,0.759689,176.29288,0.651909,6,0.577631,-7.311,1,0.246123,100.288,4,0.750014
2/8/2014,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/8/2014,0,10,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
